longitude,latitude
-122.23,37.88
-122.22,37.86
-122.24,37.85
-122.25,37.85
-122.25,37.85
-122.25,37.85
-122.25,37.84
-122.25,37.84
-122.26,37.84
-122.25,37.84
-122.26,37.85
-122.26,37.85
-122.26,37.85
-122.26,37.84
-122.26,37.85
-122.26,37.85
-122.27,37.85
-122.27,37.85
-122.26,37.84
-122.27,37.84
-122.27,37.85
-122.27,37.85
-122.27,37.84
-122.27,37.84
-122.27,37.84
-122.28,37.85
-122.28,37.85
-122.28,37.85
-122.28,37.84
-122.28,37.84
-122.28,37.84
-122.28,37.84
-122.27,37.84
-122.27,37.83
-122.27,37.83
-122.27,37.83
-122.27,37.83
-122.28,37.83
-122.26,37.83
-122.26,37.83
-122.26,37.83
-122.26,37.83
-122.26,37.84
-122.26,37.84
-122.26,37.83
-122.26,37.83
-122.26,37.83
-122.27,37.82
-122.26,37.82
-122.27,37.82
-122.27,37.82
-122.27,37.82
-122.27,37.82
-122.27,37.82
-122.28,37.82
-122.28,37.82
-122.28,37.82
-122.28,37.82
-122.28,37.82
-122.29,37.82
-122.29,37.83
-122.29,37.82
-122.29,37.81
-122.3,37.81
-122.3,37.81
-122.3,37.81
-122.3,37.81
-122.29,37.8
-122.3,37.81
-122.29,37.81
-122.29,37.81
-122.29,37.81
-122.29,37.81
-122.29,37.81
-122.29,37.81
-122.28,37.81
-122.28,37.81
-122.28,37.81
-122.29,37.81
-122.28,37.8
-122.28,37.81
-122.27,37.81
-122.28,37.81
-122.28,37.81
-122.28,37.81
-122.28,37.81
-122.27,37.81
-122.27,37.81
-122.27,37.8
-122.27,37.8
-122.27,37.8
-122.28,37.8
-122.28,37.8
-122.27,37.79
-122.27,37.8
-122.26,37.8
-122.26,37.82
-122.26,37.81
-122.26,37.82
-122.26,37.82
-122.25,37.81
-122.25,37.81
-122.25,37.81
-122.25,37.81
-122.26,37.81
-122.24,37.82
-122.24,37.81
-122.25,37.81
-122.24,37.82
-122.25,37.82
-122.25,37.82
-122.25,37.82
-122.25,37.82
-122.25,37.83
-122.25,37.83
-122.25,37.83
-122.25,37.83
-122.25,37.83
-122.23,37.84
-122.23,37.84
-122.24,37.83
-122.24,37.85
-122.23,37.85
-122.24,37.84
-122.24,37.85
-122.22,37.85
-122.22,37.84
-122.21,37.84
-122.21,37.83
-122.2,37.84
-122.21,37.84
-122.19,37.84
-122.2,37.84
-122.21,37.83
-122.19,37.83
-122.2,37.83
-122.19,37.83
-122.19,37.82
-122.2,37.82
-122.2,37.82
-122.18,37.81
-122.21,37.82
-122.2,37.81
-122.21,37.8
-122.21,37.8
-122.21,37.81
-122.22,37.81
-122.22,37.8
-122.22,37.8
-122.22,37.8
-122.22,37.81
-122.22,37.81
-122.23,37.8
-122.23,37.81
-122.22,37.81
-122.23,37.81
-122.24,37.81
-122.24,37.81
-122.23,37.81
-122.24,37.81
-122.24,37.8
-122.25,37.8
-122.24,37.81
-122.25,37.81
-122.25,37.8
-122.25,37.8
-122.25,37.8
-122.25,37.8
-122.24,37.79
-122.25,37.79
-122.25,37.79
-122.25,37.79
-122.25,37.8
-122.25,37.8
-122.24,37.8
-122.24,37.8
-122.24,37.8
-122.24,37.8
-122.23,37.8
-122.24,37.8
-122.24,37.8
-122.23,37.8
-122.23,37.8
-122.23,37.8
-122.23,37.8
-122.23,37.79
-122.23,37.79
-122.23,37.79
-122.24,37.79
-122.24,37.79
-122.24,37.79
-122.24,37.79
-122.25,37.79
-122.25,37.79
-122.25,37.79
-122.26,37.8
-122.22,37.77
-122.22,37.77
-122.23,37.77
-122.23,37.78
-122.23,37.78
-122.22,37.78
-122.23,37.78
-122.23,37.78
-122.23,37.78
-122.23,37.79
-122.23,37.79
-122.22,37.79
-122.23,37.79
-122.23,37.79
-122.22,37.79
-122.22,37.79
-122.21,37.79
-122.22,37.79
-122.22,37.79
-122.22,37.79
-122.2,37.79
-122.21,37.79
-122.21,37.79
-122.21,37.79
-122.21,37.8
-122.21,37.8
-122.2,37.8
-122.2,37.8
-122.21,37.8
-122.2,37.8
-122.21,37.8
-122.19,37.8
-122.19,37.8
-122.19,37.79
-122.2,37.79
-122.2,37.8
-122.19,37.8
-122.19,37.79
-122.19,37.79
-122.2,37.79
-122.2,37.79
-122.2,37.79
-122.21,37.79
-122.2,37.79
-122.21,37.78
-122.21,37.78
-122.21,37.78
-122.21,37.78
-122.22,37.78
-122.21,37.78
-122.21,37.78
-122.22,37.77
-122.22,37.78
-122.22,37.78
-122.22,37.78
-122.21,37.76
-122.21,37.77
-122.21,37.77
-122.2,37.77
-122.21,37.77
-122.21,37.77
-122.19,37.77
-122.2,37.77
-122.2,37.77
-122.2,37.78
-122.2,37.78
-122.2,37.78
-122.2,37.77
-122.21,37.78
-122.19,37.78
-122.19,37.77
-122.19,37.77
-122.19,37.78
-122.19,37.78
-122.18,37.78
-122.19,37.78
-122.19,37.78
-122.2,37.78
-122.18,37.79
-122.18,37.79
-122.18,37.79
-122.19,37.79
-122.19,37.79
-122.18,37.81
-122.18,37.8
-122.18,37.8
-122.13,37.77
-122.16,37.79
-122.17,37.78
-122.17,37.77
-122.18,37.78
-122.18,37.78
-122.17,37.78
-122.17,37.78
-122.16,37.77
-122.16,37.77
-122.16,37.77
-122.16,37.77
-122.17,37.77
-122.17,37.77
-122.17,37.76
-122.17,37.76
-122.18,37.76
-122.17,37.76
-122.18,37.76
-122.18,37.76
-122.18,37.76
-122.18,37.77
-122.18,37.77
-122.18,37.76
-122.19,37.76
-122.18,37.77
-122.18,37.77
-122.18,37.77
-122.19,37.76
-122.2,37.76
-122.19,37.77
-122.19,37.77
-122.19,37.76
-122.19,37.76
-122.2,37.75
-122.2,37.76
-122.19,37.76
-122.19,37.75
-122.19,37.75
-122.19,37.76
-122.19,37.74
-122.18,37.74
-122.19,37.73
-122.19,37.74
-122.19,37.73
-122.18,37.73
-122.18,37.73
-122.18,37.73
-122.18,37.73
-122.17,37.74
-122.17,37.74
-122.17,37.74
-122.17,37.73
-122.18,37.74
-122.17,37.74
-122.17,37.74
-122.18,37.74
-122.18,37.75
-122.18,37.75
-122.17,37.75
-122.18,37.75
-122.19,37.75
-122.18,37.75
-122.18,37.75
-122.17,37.76
-122.17,37.75
-122.17,37.75
-122.17,37.75
-122.17,37.75
-122.16,37.76
-122.16,37.75
-122.17,37.75
-122.17,37.76
-122.16,37.76
-122.16,37.76
-122.15,37.76
-122.14,37.77
-122.14,37.76
-122.13,37.76
-122.12,37.75
-122.12,37.75
-122.14,37.75
-122.14,37.75
-122.13,37.75
-122.13,37.75
-122.13,37.74
-122.16,37.75
-122.15,37.75
-122.15,37.75
-122.15,37.74
-122.16,37.75
-122.16,37.75
-122.15,37.74
-122.15,37.74
-122.16,37.75
-122.16,37.75
-122.17,37.74
-122.17,37.75
-122.16,37.74
-122.16,37.74
-122.16,37.74
-122.16,37.74
-122.16,37.74
-122.29,37.9
-122.29,37.9
-122.29,37.89
-122.3,37.9
-122.29,37.89
-122.3,37.89
-122.3,37.9
-122.3,37.89
-122.3,37.89
-122.33,37.89
-122.34,37.88
-122.29,37.89
-122.29,37.88
-122.29,37.89
-122.29,37.89
-122.28,37.88
-122.29,37.89
-122.27,37.9
-122.26,37.9
-122.27,37.9
-122.27,37.9
-122.27,37.9
-122.27,37.89
-122.28,37.9
-122.28,37.9
-122.28,37.9
-122.28,37.89
-122.28,37.89
-122.28,37.89
-122.28,37.89
-122.27,37.89
-122.27,37.89
-122.26,37.9
-122.25,37.89
-122.26,37.89
-122.26,37.89
-122.25,37.89
-122.25,37.89
-122.26,37.88
-122.26,37.88
-122.27,37.88
-122.27,37.88
-122.27,37.88
-122.28,37.88
-122.28,37.88
-122.28,37.88
