track_popularity,loudness
66,-2.634
67,-4.969
70,-3.432
60,-3.778
69,-4.672
67,-5.385
62,-4.788
69,-2.419
68,-3.562
67,-4.552
58,-6.5
67,-4.918
67,-4.675
68,-4.451
63,-4.446
66,-4.603
60,-4.322
65,-5.289
69,-6.722
35,-5.466
70,-5.053
64,-4.329
62,-4.477
70,-5.999
58,-3.785
63,-7.037
66,-7.117
8,-3.781
62,-3.983
30,-2.929
56,-4.754
56,-7.51
58,-6.487
60,-5.06
60,-4.121
55,-5.029
59,-5.972
63,-4.046
67,-2.921
55,-2.878
56,-3.503
87,-7.159
62,-3.66
83,-11.265
55,-4.104
61,-7.626
56,-4.364
57,-4.203
56,-4.564
53,-3.318
56,-4.607
34,-2.996
74,-9.108
46,-4.952
63,-4.744
55,-4.358
52,-5.283
67,-11.297
63,-4.451
60,-5.877
45,-3.613
58,-2.325
51,-6.918
58,-5.8
56,-4.154
60,-7.388
48,-5.547
56,-5.48
56,-4.504
65,-3.759
39,-5.59
83,-3.87
83,-3.933
71,-3.374
81,-5.445
85,-4.792
76,-4.629
71,-3.249
65,-4.388
67,-8.106
74,-2.868
81,-3.584
71,-3.815
75,-4.437
73,-8.14
79,-5.265
74,-4.859
63,-4.872
79,-6.519
16,-4.481
75,-5.377
75,-4.75
55,-3.884
30,-6.181
62,-3.004
84,-3.061
70,-4.449
37,-6.476
70,-3.962
74,-5.453
85,-2.853
36,-9.952
52,-5.299
58,-5.003
72,-6.474
64,-5.994
63,-3.284
77,-4.661
76,-6.385
74,-4.761
56,-5.541
77,-3.721
71,-7.891
64,-6.547
82,-4.389
81,-6.439
41,-11.684
62,-4.159
5,-5.154
72,-6.872
24,-6.479
58,-5.245
65,-4.578
64,-1.818
53,-5.737
72,-4.855
39,-3.613
75,-4.617
60,-4.474
18,-4.285
79,-5.025
60,-4.275
83,-4.167
85,-5.599
47,-8.446
74,-3.48
80,-4.546
81,-7.786
76,-5.337
96,-7.037
84,-5.991
86,-4.711
68,-4.137
66,-5.828
83,-6.769
85,-3.24
73,-4.124
69,-6.596
69,-6.628
81,-5.371
73,-7.055
61,-3.109
19,-5.456
57,-4.346
81,-3.669
79,-2.787
84,-5.697
84,-5.335
66,-3.674
8,-5.053
64,-5.039
61,-6.36
27,-3.419
74,-5.72
57,-4.081
69,-4.618
77,-4.373
74,-5.89
5,-3.785
57,-7.647
68,-4.999
65,-7.649
58,-4.447
81,-2.097
68,-3.282
43,-7.104
57,-7.66
58,-3.364
58,-4.584
91,-8.659
67,-6.433
42,-4.985
70,-4.202
64,-7.049
79,-5.896
48,-7.14
53,-5.545
75,-6.055
46,-6.348
67,-8.804
65,-7.115
56,-4.942
42,-8.738
58,-4.578
74,-5.68
65,-2.245
64,-3.642
51,-4.239
63,-3.151
83,-4.722
55,-3.273
39,-5.081
48,-4.881
59,-1.137
64,-11.431
42,-5.153
70,-3.988
57,-5.606
21,-5.219
68,-6.019
63,-3.812
54,-4.372
79,-5.898
72,-8.026
80,-5.03
47,-5.851
19,-6.329
79,-3.563
59,-3.905
68,-4.699
72,-5.457
66,-5.658
59,-6.16
64,-4.665
9,-2.84
41,-3.753
69,-5.727
66,-3.754
68,-3.565
66,-3.791
63,-5.357
68,-3.885
23,-5.299
67,-4.721
62,-4.763
9,-5.84
59,-4.612
71,-6.19
21,-4.809
81,-6.998
69,-4.879
56,-4.517
56,-4.777
60,-2.851
40,-8.584
57,-4.514
70,-5.96
63,-7.149
65,-6.248
56,-4.547
2,-5.001
53,-4.302
11,-3.638
77,-4.612
56,-6.92
65,-2.588
34,-3.811
54,-6.495
51,-4.23
50,-5.253
